,Date,Close,High,Low,Open,Volume,EMA_9,EMA_21,Signal,Position,CumulativeProfit
99,2024-05-23,18696.25,19023.25,18621.5,18860.5,851576.0,18611.08433643344,18369.34141261049,1.0,0.0,909.75
100,2024-05-24,18876.0,18926.0,18680.0,18684.0,552083.0,18664.06746914675,18415.40128419136,1.0,0.0,909.75
101,2024-05-28,18940.5,18980.5,18819.5,18874.75,642954.0,18719.3539753174,18463.13753108305,1.0,0.0,909.75
102,2024-05-29,18802.75,18949.75,18740.0,18949.5,573938.0,18736.03318025392,18494.01139189368,1.0,0.0,909.75
103,2024-05-30,18606.5,18787.0,18546.25,18753.0,619548.0,18710.12654420314,18504.23762899425,1.0,0.0,909.75
104,2024-05-31,18591.0,18668.25,18241.25,18590.75,834003.0,18686.30123536252,18512.125117267504,1.0,0.0,909.75
105,2024-06-03,18646.25,18755.5,18435.75,18590.25,669104.0,18678.290988290013,18524.318288425,1.0,0.0,909.75
106,2024-06-04,18701.0,18753.25,18511.25,18662.5,616703.0,18682.83279063201,18540.380262204544,1.0,0.0,909.75
107,2024-06-05,19074.25,19090.5,18696.25,18711.0,575227.0,18761.11623250561,18588.913874731403,1.0,0.0,909.75
108,2024-06-06,19060.25,19124.5,19017.25,19089.5,524900.0,18820.942986004487,18631.762613392184,1.0,0.0,909.75
109,2024-06-07,19037.75,19155.0,18940.0,19064.0,612033.0,18864.30438880359,18668.67055762925,1.0,0.0,909.75
110,2024-06-10,19109.75,19129.75,18974.25,19025.0,571666.0,18913.393511042872,18708.76868875387,1.0,0.0,909.75
111,2024-06-11,19242.25,19257.5,18994.5,19107.25,564706.0,18979.1648088343,18757.266989776246,1.0,0.0,909.75
112,2024-06-12,19496.5,19612.25,19233.5,19248.0,691079.0,19082.63184706744,18824.46999070568,1.0,0.0,909.75
113,2024-06-13,19602.5,19691.0,19500.0,19602.0,584725.0,19186.60547765396,18895.199991550617,1.0,0.0,909.75
114,2024-06-14,19685.5,19699.5,19501.5,19602.75,584288.0,19286.384382123164,18967.045446864195,1.0,0.0,909.75
115,2024-06-17,19921.25,20001.0,19640.5,19695.0,423232.0,19413.35750569853,19053.791315331087,1.0,0.0,909.75
116,2024-06-18,19919.25,19996.5,19851.75,19918.5,201834.0,19514.536004558824,19132.46937757372,1.0,0.0,909.75
117,2024-06-20,19763.25,20095.0,19694.25,19930.25,157046.0,19564.27880364706,19189.81307052156,1.0,0.0,909.75
118,2024-06-21,19747.2890625,19819.25,19687.5,19781.25,590839.0,19600.880855417647,19240.49270615596,1.0,0.0,909.75
119,2024-06-24,19750.75,20030.25,19728.0,20014.75,683900.0,19630.85468433412,19286.879732869056,1.0,0.0,909.75
120,2024-06-25,19972.25,19981.25,19726.0,19756.0,574518.0,19699.13374746729,19349.18612079005,1.0,0.0,909.75
121,2024-06-26,20012.5,20070.5,19901.0,19973.0,590175.0,19761.80699797384,19409.48738253641,1.0,0.0,909.75
122,2024-06-27,20039.5,20116.75,19874.25,19946.0,589649.0,19817.34559837907,19466.76125685128,1.0,0.0,909.75
123,2024-06-28,19927.25,20273.25,19906.25,20063.25,750324.0,19839.326478703257,19508.6238698648,1.0,0.0,909.75
124,2024-07-01,20052.0,20074.0,19811.75,19970.0,639341.0,19881.86118296261,19558.02169987709,1.0,0.0,909.75
125,2024-07-02,20255.25,20259.25,19910.0,20045.75,621477.0,19956.538946370085,19621.406090797354,1.0,0.0,909.75
126,2024-07-03,20411.5,20435.25,20205.0,20241.0,395129.0,20047.53115709607,19693.23280981577,1.0,0.0,909.75
127,2024-07-05,20620.75,20639.5,20361.0,20419.25,600207.0,20162.174925676856,19777.552554377977,1.0,0.0,909.75
128,2024-07-08,20659.75,20688.0,20579.25,20591.5,497107.0,20261.689940541484,19857.7523221618,1.0,0.0,909.75
129,2024-07-09,20678.5,20771.75,20615.75,20681.0,569689.0,20345.051952433187,19932.36574741981,1.0,0.0,909.75
130,2024-07-10,20899.75,20916.75,20684.5,20686.0,576694.0,20455.99156194655,20020.30977038165,1.0,0.0,909.75
131,2024-07-11,20441.75,20983.75,20377.25,20895.5,906128.0,20453.14324955724,20058.62251852877,1.0,0.0,909.75
132,2024-07-12,20524.0,20741.0,20335.0,20432.75,724343.0,20467.3145996458,20100.92956229888,1.0,0.0,909.75
133,2024-07-15,20583.75,20797.0,20506.25,20580.0,703410.0,20490.60167971664,20144.82232936261,1.0,0.0,909.75
134,2024-07-16,20598.0,20684.5,20464.5,20628.0,629745.0,20512.08134377331,20186.02029942056,1.0,0.0,909.75
135,2024-07-17,19997.5,20597.75,19965.75,20591.0,854323.0,20409.16507501865,20168.882090382325,1.0,0.0,909.75
136,2024-07-18,19899.25,20162.5,19758.75,20024.25,964287.0,20307.18206001492,20144.37008216575,1.0,0.0,909.75
137,2024-07-19,19713.0,19979.75,19654.0,19955.0,774109.0,20188.34564801194,20105.154620150683,1.0,0.0,909.75
138,2024-07-22,20001.0,20044.75,19718.75,19749.0,657854.0,20150.87651840955,20095.686018318804,1.0,0.0,909.75
139,2024-07-23,19925.0,20084.75,19868.25,19982.0,601990.0,20105.70121472764,20080.16910756255,1.0,0.0,909.75
140,2024-07-24,19203.25,19883.0,19168.75,19883.0,846812.0,19925.210971782115,20000.449188693223,0.0,-1.0,1913.5
141,2024-07-25,18992.25,19390.5,18883.25,19260.0,992015.0,19738.61877742569,19908.79471699384,0.0,0.0,1913.5
142,2024-07-26,19174.5,19297.75,18995.0,19003.0,694702.0,19625.79502194056,19842.040651812586,0.0,0.0,1913.5
143,2024-07-29,19209.25,19377.25,19113.25,19171.75,600017.0,19542.486017552445,19784.51422892053,0.0,0.0,1913.5
144,2024-07-30,18936.25,19319.75,18725.0,19217.0,745002.0,19421.23881404196,19707.39929901866,0.0,0.0,1913.5
145,2024-07-31,19505.25,19648.0,18861.75,18865.75,762246.0,19438.04105123357,19689.02209001696,0.0,0.0,1913.5
146,2024-08-01,19023.25,19717.0,18854.0,19593.25,920616.0,19355.08284098685,19628.49735456088,0.0,0.0,1913.5
147,2024-08-02,18556.25,18979.75,18385.75,18956.5,842228.0,19195.316272789485,19531.02032232807,0.0,0.0,1913.5
148,2024-08-05,18013.25,18390.0,17351.0,18390.0,937137.0,18958.90301823159,19393.041202116423,0.0,0.0,1913.5
