Date,Normalized GDP
1/7/1962,100.05419999999999
1/8/1962,99.93903000000000
1/9/1962,99.79639000000000
1/10/1962,99.64117000000000
1/11/1962,99.49308000000001
1/12/1962,99.36946000000000
1/1/1963,99.27740000000000
1/2/1963,99.21956000000000
1/3/1963,99.19736000000000
1/4/1963,99.21147999999999
1/5/1963,99.26043000000000
1/6/1963,99.33620999999999
1/7/1963,99.41723000000000
1/8/1963,99.48107000000000
1/9/1963,99.51654000000001
1/10/1963,99.53657000000000
1/11/1963,99.56234000000001
1/12/1963,99.60838000000000
1/1/1964,99.66704000000000
1/2/1964,99.72102000000000
1/3/1964,99.75463000000001
1/4/1964,99.76508000000000
1/5/1964,99.75500000000000
1/6/1964,99.72659000000000
1/7/1964,99.67699000000000
1/8/1964,99.60482000000000
1/9/1964,99.51801000000000
1/10/1964,99.44306000000000
1/11/1964,99.41013000000000
1/12/1964,99.43762000000000
1/1/1965,99.51357000000000
1/2/1965,99.61555000000000
1/3/1965,99.72669999999999
1/4/1965,99.84961000000000
1/5/1965,99.99715000000000
1/6/1965,100.18240000000000
1/7/1965,100.40649999999999
1/8/1965,100.66410000000000
1/9/1965,100.94530000000000
1/10/1965,101.23550000000000
1/11/1965,101.51580000000000
1/12/1965,101.76270000000000
1/1/1966,101.94900000000000
1/2/1966,102.04989999999999
1/3/1966,102.05440000000000
1/4/1966,101.98190000000000
1/5/1966,101.86350000000000
1/6/1966,101.72820000000000
1/7/1966,101.59330000000000
1/8/1966,101.46680000000001
1/9/1966,101.35020000000000
1/10/1966,101.24060000000000
1/11/1966,101.13200000000001
1/12/1966,101.01649999999999
1/1/1967,100.88530000000000
1/2/1967,100.73220000000001
1/3/1967,100.55830000000000
1/4/1967,100.37850000000000
1/5/1967,100.21259999999999
1/6/1967,100.07769999999999
1/7/1967,99.97972000000000
1/8/1967,99.92081000000000
1/9/1967,99.90491000000000
1/10/1967,99.94025000000001
1/11/1967,100.03520000000000
1/12/1967,100.19110000000001
1/1/1968,100.39019999999999
1/2/1968,100.60610000000000
1/3/1968,100.81160000000000
1/4/1968,100.98450000000000
1/5/1968,101.10830000000000
1/6/1968,101.17510000000000
1/7/1968,101.19240000000001
1/8/1968,101.17510000000000
1/9/1968,101.14230000000001
1/10/1968,101.11610000000000
1/11/1968,101.11420000000000
1/12/1968,101.14210000000000
1/1/1969,101.18370000000000
1/2/1969,101.21480000000000
1/3/1969,101.21469999999999
1/4/1969,101.17970000000000
1/5/1969,101.11210000000000
1/6/1969,101.01290000000000
1/7/1969,100.87630000000000
1/8/1969,100.69459999999999
1/9/1969,100.46510000000001
1/10/1969,100.20140000000001
1/11/1969,99.92325000000000
1/12/1969,99.65012000000000
1/1/1970,99.39561000000000
1/2/1970,99.16888000000000
1/3/1970,98.97471000000000
1/4/1970,98.81187000000000
1/5/1970,98.67497000000000
1/6/1970,98.55410000000001
1/7/1970,98.43274000000000
1/8/1970,98.30015000000000
1/9/1970,98.16367000000000
1/10/1970,98.06168000000000
1/11/1970,98.03703000000000
1/12/1970,98.10834000000000
1/1/1971,98.24902000000000
1/2/1971,98.40772000000000
1/3/1971,98.53685000000000
1/4/1971,98.61981000000000
1/5/1971,98.65794000000000
1/6/1971,98.66049000000000
1/7/1971,98.63771000000000
1/8/1971,98.60209999999999
1/9/1971,98.57146000000000
1/10/1971,98.57281000000000
1/11/1971,98.63418000000000
1/12/1971,98.77428000000000
1/1/1972,98.98764000000000
1/2/1972,99.25620000000001
1/3/1972,99.55531000000001
1/4/1972,99.85570000000000
1/5/1972,100.13260000000000
1/6/1972,100.37510000000000
1/7/1972,100.59630000000000
1/8/1972,100.82070000000000
1/9/1972,101.07220000000000
1/10/1972,101.36170000000000
1/11/1972,101.68850000000000
1/12/1972,102.03810000000000
1/1/1973,102.37779999999999
1/2/1973,102.66790000000000
1/3/1973,102.87300000000000
1/4/1973,102.97799999999999
1/5/1973,102.98160000000000
1/6/1973,102.89630000000000
1/7/1973,102.75650000000000
1/8/1973,102.59770000000000
1/9/1973,102.44100000000000
1/10/1973,102.27870000000000
1/11/1973,102.09110000000000
1/12/1973,101.86369999999999
1/1/1974,101.60610000000000
1/2/1974,101.33580000000001
1/3/1974,101.06420000000000
1/4/1974,100.78430000000000
1/5/1974,100.48139999999999
1/6/1974,100.14390000000000
1/7/1974,99.77602000000000
1/8/1974,99.38849999999999
1/9/1974,98.99151000000001
1/10/1974,98.58928000000000
1/11/1974,98.18687000000000
1/12/1974,97.79718000000000
1/1/1975,97.44790999999999
1/2/1975,97.17097000000000
1/3/1975,96.98943000000000
1/4/1975,96.91301000000000
1/5/1975,96.93767000000000
1/6/1975,97.05092999999999
1/7/1975,97.22956000000001
1/8/1975,97.45041000000001
1/9/1975,97.69637000000000
1/10/1975,97.95905999999999
1/11/1975,98.23293000000000
1/12/1975,98.50771000000000
1/1/1976,98.75977000000000
1/2/1976,98.96160999999999
1/3/1976,99.09287999999999
1/4/1976,99.15467000000000
1/5/1976,99.15885000000000
1/6/1976,99.12197999999999
1/7/1976,99.06323000000000
1/8/1976,99.00148000000000
1/9/1976,98.95381999999999
1/10/1976,98.93434999999999
1/11/1976,98.95538000000001
1/12/1976,99.02661999999999
1/1/1977,99.15124000000000
1/2/1977,99.32782000000000
1/3/1977,99.54817000000000
1/4/1977,99.79131000000000
1/5/1977,100.02970000000001
